Query	RS_Number	R2	GWAS_Trait	P_value	PMID
rs10000180	rs2868708	0.947759526633184	Lymphocyte count	3e-11	34469753
rs10000180	rs2868708	0.947759526633184	White blood cell count	1e-09	30595370
rs10000180	rs6831339	0.944449338790164	High density lipoprotein cholesterol levels	9e-09	34887591
rs10000180	rs116142917	0.867157229106754	Lymphocyte count	7e-18	32888494
rs10000180	rs6823199	0.851400957981542	Pulse pressure	4e-14	30224653
rs10000180	rs13111599	0.844390984736921	HDL cholesterol levels	3e-09	32203549
rs10000180	rs13111599	0.844390984736921	Apolipoprotein A1 levels	4e-08	32203549
rs10000180	rs6535419	0.831837550147235	Pulse pressure	6e-10	30578418
rs10000180	rs11099563	0.779205617331924	High density lipoprotein cholesterol levels	3e-11	34887591
rs10000180	rs28528763	0.762574386491188	White blood cell count	7e-12	32888494
rs10000180	rs4302451	0.709357927829245	Eosinophil counts	2e-09	30595370
rs10000180	rs35895091	0.6717868098693	Cardiovascular disease	1e-07	30595370
rs10000180	rs7662402	0.650726530315339	Brain morphology (MOSTest)	3e-08	35164939
rs10010659	rs10010659	1	Water consumption (glasses per day) (UKB data field 1528)	1e-08	32193382
rs10032000	rs10010659	0.947974788143136	Water consumption (glasses per day) (UKB data field 1528)	1e-08	32193382
rs10036895	rs10036895	1	Breast cancer	2e-12	34290314
rs10038651	rs38033	0.994152413933807	Blood protein levels	0	30072576
rs10038651	rs27293	0.983332329233094	Juvenile idiopathic arthritis (oligoarticular or rheumatoid factor-negative polyarticular)	7e-09	23603761
rs10038651	rs27293	0.983332329233094	Diastolic blood pressure	3e-11	35762941
rs10038651	rs1423357	0.971026140541252	General cognitive ability	9e-06	29844566
rs10038651	rs2432142	0.959466198494439	Neutrophil count	2e-14	32888493
rs10038651	rs2432142	0.959466198494439	White blood cell count	1e-11	32888493
rs10038651	rs7705093	0.936789208980476	Birdshot chorioretinopathy	2e-09	24957906
rs10038651	rs2910686	0.847099019457154	Neutrophil count	4e-14	32888493
rs10038651	rs2910686	0.847099019457154	Psoriasis	2e-08	23143594
rs10038651	rs2910686	0.847099019457154	Ankylosing spondylitis	5e-17	23749187
rs10038651	rs2910686	0.847099019457154	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	2e-21	26974007
rs10038651	rs2927608	0.843861702435685	Endoplasmic reticulum aminopeptidase 2 level in Chronic kidney disease with hypertension and no diabetes (8960_3)	7e-161	35870639
rs10038651	rs2927608	0.843861702435685	Endoplasmic reticulum aminopeptidase 2 levels (ERAP2.8960.3.3)	0	29875488
rs10038651	rs2927608	0.843861702435685	Endoplasmic reticulum aminopeptidase 2 levels	0	34648354
rs10038651	rs38029	0.783315372693566	Smoking initiation (ever regular vs never regular) (MTAG)	8e-07	30643251
rs10038651	rs2617439	0.763279003676691	Neutrophil count	8e-11	32888494
rs10038651	rs2549797	0.752282800212888	Systolic blood pressure	7e-07	33230300
rs10038651	rs2549797	0.752282800212888	Diastolic blood pressure	1e-14	33230300
rs10038651	rs2549797	0.752282800212888	Diastolic blood pressure	3e-11	33230300
rs10038651	rs2549797	0.752282800212888	Systolic blood pressure	4e-09	33230300
rs10038651	rs2549782	0.751030791193721	Systolic blood pressure	6e-07	33230300
rs10038651	rs2549782	0.751030791193721	Diastolic blood pressure	1e-14	33230300
rs10038651	rs2549782	0.751030791193721	Diastolic blood pressure	3e-11	33230300
rs10038651	rs2549782	0.751030791193721	Systolic blood pressure	5e-09	33230300
rs10038651	rs1056893	0.750405625800376	Systolic blood pressure	1e-06	33230300
rs10038651	rs1056893	0.750405625800376	Diastolic blood pressure	7e-15	33230300
rs10038651	rs1056893	0.750405625800376	Diastolic blood pressure	2e-11	33230300
rs10038651	rs1056893	0.750405625800376	Systolic blood pressure	7e-09	33230300
rs10038651	rs2549794	0.749257390940066	Crohn's disease	1e-10	21102463
rs10038651	rs2549794	0.749257390940066	Systolic blood pressure	1e-07	33230300
rs10038651	rs2549794	0.749257390940066	Diastolic blood pressure	1e-15	33230300
rs10038651	rs2549794	0.749257390940066	Diastolic blood pressure	2e-12	33230300
rs10038651	rs2549794	0.749257390940066	Systolic blood pressure	4e-10	33230300
rs10038651	rs1363907	0.744674357439087	Crohn's disease	4e-16	26192919
rs10038651	rs1363907	0.744674357439087	Ulcerative colitis	4e-06	26192919
rs10038651	rs1363907	0.744674357439087	Inflammatory bowel disease	5e-15	26192919
rs10038651	rs1363907	0.744674357439087	Inflammatory bowel disease	6e-13	23128233
rs10038651	rs1363907	0.744674357439087	Inflammatory bowel disease	1e-10	28067908
rs10038651	rs1363907	0.744674357439087	Crohn's disease	1e-14	28067908
rs10038651	rs716848	0.716478990237484	Neutrophil percentage of white cells	2e-09	32888494
rs10038651	rs4869313	0.703354216602425	Pediatric autoimmune diseases	9e-08	26301688
rs10038651	rs1559359	0.696477735761092	Diastolic blood pressure	7e-10	34594039
rs10038651	rs2548532	0.673250754112324	Externalizing behaviour (multivariate analysis)	5e-11	34446935
rs10038651	rs4869314	0.648934612992059	Arthritis (juvenile idiopathic)	3e-09	33106285
rs10038651	rs4869314	0.648934612992059	Neutrophil count	1e-10	34594039
rs10038651	rs4869314	0.648934612992059	White blood cell count	2e-07	30595370
rs10038651	rs1974871	0.624169190249793	Granulysin levels	5e-13	34648354
rs10038651	rs27660	0.620960998866173	Coronary artery disease	3e-08	35915156
rs10038651	rs1019503	0.619076944732003	Systolic blood pressure	2e-06	33230300
rs10038651	rs1019503	0.619076944732003	Diastolic blood pressure	2e-14	33230300
rs10038651	rs1019503	0.619076944732003	Diastolic blood pressure	4e-11	33230300
rs10038651	rs1019503	0.619076944732003	Systolic blood pressure	1e-08	33230300
rs10038651	rs3096168	0.611862403097564	Aspartate aminotransferase levels	8e-12	33547301
rs10039322	rs33321	0.64458633450473	Height	1e-19	34594039
rs10039322	rs832540	0.6143514104912	Coronary artery disease	2e-08	29212778
rs10044354	rs38033	0.994152413933807	Blood protein levels	0	30072576
rs10044354	rs27293	0.983332329233094	Juvenile idiopathic arthritis (oligoarticular or rheumatoid factor-negative polyarticular)	7e-09	23603761
rs10044354	rs27293	0.983332329233094	Diastolic blood pressure	3e-11	35762941
rs10044354	rs1423357	0.971026140541252	General cognitive ability	9e-06	29844566
rs10044354	rs2432142	0.959466198494439	Neutrophil count	2e-14	32888493
rs10044354	rs2432142	0.959466198494439	White blood cell count	1e-11	32888493
rs10044354	rs7705093	0.936789208980476	Birdshot chorioretinopathy	2e-09	24957906
rs10044354	rs2910686	0.847099019457154	Neutrophil count	4e-14	32888493
rs10044354	rs2910686	0.847099019457154	Psoriasis	2e-08	23143594
rs10044354	rs2910686	0.847099019457154	Ankylosing spondylitis	5e-17	23749187
rs10044354	rs2910686	0.847099019457154	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	2e-21	26974007
rs10044354	rs2927608	0.843861702435685	Endoplasmic reticulum aminopeptidase 2 level in Chronic kidney disease with hypertension and no diabetes (8960_3)	7e-161	35870639
rs10044354	rs2927608	0.843861702435685	Endoplasmic reticulum aminopeptidase 2 levels (ERAP2.8960.3.3)	0	29875488
rs10044354	rs2927608	0.843861702435685	Endoplasmic reticulum aminopeptidase 2 levels	0	34648354
rs10044354	rs38029	0.783315372693566	Smoking initiation (ever regular vs never regular) (MTAG)	8e-07	30643251
rs10044354	rs2617439	0.763279003676691	Neutrophil count	8e-11	32888494
rs10044354	rs2549797	0.752282800212888	Systolic blood pressure	7e-07	33230300
rs10044354	rs2549797	0.752282800212888	Diastolic blood pressure	1e-14	33230300
rs10044354	rs2549797	0.752282800212888	Diastolic blood pressure	3e-11	33230300
rs10044354	rs2549797	0.752282800212888	Systolic blood pressure	4e-09	33230300
rs10044354	rs2549782	0.751030791193721	Systolic blood pressure	6e-07	33230300
rs10044354	rs2549782	0.751030791193721	Diastolic blood pressure	1e-14	33230300
rs10044354	rs2549782	0.751030791193721	Diastolic blood pressure	3e-11	33230300
rs10044354	rs2549782	0.751030791193721	Systolic blood pressure	5e-09	33230300
rs10044354	rs1056893	0.750405625800376	Systolic blood pressure	1e-06	33230300
rs10044354	rs1056893	0.750405625800376	Diastolic blood pressure	7e-15	33230300
rs10044354	rs1056893	0.750405625800376	Diastolic blood pressure	2e-11	33230300
rs10044354	rs1056893	0.750405625800376	Systolic blood pressure	7e-09	33230300
rs10044354	rs2549794	0.749257390940066	Crohn's disease	1e-10	21102463
rs10044354	rs2549794	0.749257390940066	Systolic blood pressure	1e-07	33230300
rs10044354	rs2549794	0.749257390940066	Diastolic blood pressure	1e-15	33230300
rs10044354	rs2549794	0.749257390940066	Diastolic blood pressure	2e-12	33230300
rs10044354	rs2549794	0.749257390940066	Systolic blood pressure	4e-10	33230300
rs10044354	rs1363907	0.744674357439087	Crohn's disease	4e-16	26192919
rs10044354	rs1363907	0.744674357439087	Ulcerative colitis	4e-06	26192919
rs10044354	rs1363907	0.744674357439087	Inflammatory bowel disease	5e-15	26192919
rs10044354	rs1363907	0.744674357439087	Inflammatory bowel disease	6e-13	23128233
rs10044354	rs1363907	0.744674357439087	Inflammatory bowel disease	1e-10	28067908
rs10044354	rs1363907	0.744674357439087	Crohn's disease	1e-14	28067908
rs10044354	rs716848	0.716478990237484	Neutrophil percentage of white cells	2e-09	32888494
rs10044354	rs4869313	0.703354216602425	Pediatric autoimmune diseases	9e-08	26301688
rs10044354	rs1559359	0.696477735761092	Diastolic blood pressure	7e-10	34594039
rs10044354	rs2548532	0.673250754112324	Externalizing behaviour (multivariate analysis)	5e-11	34446935
rs10044354	rs4869314	0.648934612992059	Arthritis (juvenile idiopathic)	3e-09	33106285
rs10044354	rs4869314	0.648934612992059	Neutrophil count	1e-10	34594039
rs10044354	rs4869314	0.648934612992059	White blood cell count	2e-07	30595370
rs10044354	rs1974871	0.624169190249793	Granulysin levels	5e-13	34648354
rs10044354	rs27660	0.620960998866173	Coronary artery disease	3e-08	35915156
rs10044354	rs1019503	0.619076944732003	Systolic blood pressure	2e-06	33230300
rs10044354	rs1019503	0.619076944732003	Diastolic blood pressure	2e-14	33230300
rs10044354	rs1019503	0.619076944732003	Diastolic blood pressure	4e-11	33230300
rs10044354	rs1019503	0.619076944732003	Systolic blood pressure	1e-08	33230300
rs10044354	rs3096168	0.611862403097564	Aspartate aminotransferase levels	8e-12	33547301
rs10051637	rs1423357	0.989117246955643	General cognitive ability	9e-06	29844566
rs10051637	rs2432142	0.977438422526603	Neutrophil count	2e-14	32888493
rs10051637	rs2432142	0.977438422526603	White blood cell count	1e-11	32888493
rs10051637	rs38033	0.972558135425505	Blood protein levels	0	30072576
rs10051637	rs27293	0.961806622146123	Juvenile idiopathic arthritis (oligoarticular or rheumatoid factor-negative polyarticular)	7e-09	23603761
rs10051637	rs27293	0.961806622146123	Diastolic blood pressure	3e-11	35762941
rs10051637	rs7705093	0.954811653883142	Birdshot chorioretinopathy	2e-09	24957906
rs10051637	rs2910686	0.866173660807361	Neutrophil count	4e-14	32888493
rs10051637	rs2910686	0.866173660807361	Psoriasis	2e-08	23143594
rs10051637	rs2910686	0.866173660807361	Ankylosing spondylitis	5e-17	23749187
rs10051637	rs2910686	0.866173660807361	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	2e-21	26974007
rs10051637	rs2927608	0.862870657763637	Endoplasmic reticulum aminopeptidase 2 level in Chronic kidney disease with hypertension and no diabetes (8960_3)	7e-161	35870639
rs10051637	rs2927608	0.862870657763637	Endoplasmic reticulum aminopeptidase 2 levels (ERAP2.8960.3.3)	0	29875488
rs10051637	rs2927608	0.862870657763637	Endoplasmic reticulum aminopeptidase 2 levels	0	34648354
rs10051637	rs2617439	0.777600953884442	Neutrophil count	8e-11	32888494
rs10051637	rs2549797	0.770886617418682	Systolic blood pressure	7e-07	33230300
rs10051637	rs2549797	0.770886617418682	Diastolic blood pressure	1e-14	33230300
rs10051637	rs2549797	0.770886617418682	Diastolic blood pressure	3e-11	33230300
rs10051637	rs2549797	0.770886617418682	Systolic blood pressure	4e-09	33230300
rs10051637	rs2549782	0.769628040951725	Systolic blood pressure	6e-07	33230300
rs10051637	rs2549782	0.769628040951725	Diastolic blood pressure	1e-14	33230300
rs10051637	rs2549782	0.769628040951725	Diastolic blood pressure	3e-11	33230300
rs10051637	rs2549782	0.769628040951725	Systolic blood pressure	5e-09	33230300
rs10051637	rs1056893	0.768999595936297	Systolic blood pressure	1e-06	33230300
rs10051637	rs1056893	0.768999595936297	Diastolic blood pressure	7e-15	33230300
rs10051637	rs1056893	0.768999595936297	Diastolic blood pressure	2e-11	33230300
rs10051637	rs1056893	0.768999595936297	Systolic blood pressure	7e-09	33230300
rs10051637	rs2549794	0.763525069522698	Crohn's disease	1e-10	21102463
rs10051637	rs2549794	0.763525069522698	Systolic blood pressure	1e-07	33230300
rs10051637	rs2549794	0.763525069522698	Diastolic blood pressure	1e-15	33230300
rs10051637	rs2549794	0.763525069522698	Diastolic blood pressure	2e-12	33230300
rs10051637	rs2549794	0.763525069522698	Systolic blood pressure	4e-10	33230300
rs10051637	rs38029	0.761309667285776	Smoking initiation (ever regular vs never regular) (MTAG)	8e-07	30643251
rs10051637	rs1363907	0.758899321161546	Crohn's disease	4e-16	26192919
rs10051637	rs1363907	0.758899321161546	Ulcerative colitis	4e-06	26192919
rs10051637	rs1363907	0.758899321161546	Inflammatory bowel disease	5e-15	26192919
rs10051637	rs1363907	0.758899321161546	Inflammatory bowel disease	6e-13	23128233
rs10051637	rs1363907	0.758899321161546	Inflammatory bowel disease	1e-10	28067908
rs10051637	rs1363907	0.758899321161546	Crohn's disease	1e-14	28067908
rs10051637	rs716848	0.730564547010637	Neutrophil percentage of white cells	2e-09	32888494
rs10051637	rs4869313	0.720033903728809	Pediatric autoimmune diseases	9e-08	26301688
